Genename,ORF,beta
ENB1,YOL158C,-0.811840334
CRC1,YOR100C,-0.808710887
RTR1,YER139C,-0.696140254
AUS1,YOR011W,-0.672386146
SPS19,YNL202W,-0.653690991
PEX25,YPL112C,-0.645270233
YJR149W,YJR149W,-0.643311182
COX19,YLL018C-A,-0.626145057
YAT2,YER024W,-0.616303401
XPT1,YJR133W,-0.609079215
SPO1,YNL012W,-0.560927089
ACM1,YPL267W,-0.553893985
YKL145W-A,YKL145W-A,-0.552929766
YGR210C,YGR210C,-0.547979723
CSG2,YBR036C,-0.546666374
YPT11,YNL304W,-0.545908219
YEL073C,YEL073C,-0.540166732
FAT1,YBR041W,-0.538414103
BUD17,YNR027W,-0.53074472
PDH1,YPR002W,-0.530268815
SPR3,YGR059W,-0.521873215
AAD14,YNL331C,-0.520959196
ERP3,YDL018C,-0.517477248
MAG2,YLR427W,-0.515908319
CAR2,YLR438W,-0.503276055
ODC2,YOR222W,-0.497491384
SLM4,YBR077C,-0.493380303
YDR131C,YDR131C,-0.489486713
CDC3,YLR314C,-0.481175084
NUR1,YDL089W,-0.461614547
YMR187C,YMR187C,-0.459610544
PCL9,YDL179W,-0.458989055
YIA6,YIL006W,-0.457550048
YCK3,YER123W,-0.455356539
LPP1,YDR503C,-0.45407141
REE1,YJL217W,-0.451447878
POL32,YJR043C,-0.44925762
RRT8,YOL048C,-0.44818256
HRD3,YLR207W,-0.448164528
EMC2,YJR088C,-0.441561186
PMU1,YKL128C,-0.434345372
IPK1,YDR315C,-0.433342528
GRH1,YDR517W,-0.431267208
KAP122,YGL016W,-0.426190343
YLR311C,YLR311C,-0.424525857
BET2,YPR176C,-0.423798856
MSY1,YPL097W,-0.421124944
SRY1,YKL218C,-0.417938182
AEP2,YMR282C,-0.415207447
YEA4,YEL004W,-0.414196326
BLI1,YKL061W,-0.413296197
ARG5%2C6,ARG5%2C6,-0.40865128
MTD1,YKR080W,-0.408440518
SWC5,YBR231C,-0.404744003
RAX2,YLR084C,-0.399822231
CDC20,YGL116W,-0.398741311
YME1,YPR024W,-0.397735874
PGS1,YCL004W,-0.396300187
SRB8,YCR081W,-0.392789061
MSS4,YDR208W,-0.392103837
CTF18,YMR078C,-0.391653353
YER163C,YER163C,-0.391460572
DCI1,YOR180C,-0.391187084
USE1,YGL098W,-0.390336522
YRR1,YOR162C,-0.389919318
COQ2,YNR041C,-0.388806876
COX10,YPL172C,-0.386917256
PAN6,YIL145C,-0.382942088
YMR304C-A,YMR304C-A,-0.38257852
HIS1,YER055C,-0.382402754
YPL277C,YPL277C,-0.381487861
ADE6,YGR061C,-0.376006357
TRE1,YPL176C,-0.375461727
SIM1,YIL123W,-0.374526664
YGR016W,YGR016W,-0.374137839
WSC3,YOL105C,-0.373920751
PSF2,YJL072C,-0.372659999
BUD8,YLR353W,-0.372553485
FCY22,YER060W-A,-0.372162602
YPS6,YIR039C,-0.371243855
SPE4,YLR146C,-0.369442517
YPL077C,YPL077C,-0.369413789
GYP8,YFL027C,-0.367535768
YPR011C,YPR011C,-0.367343885
CBF2,YGR140W,-0.366945773
