Genename,identifier
PAU8,0
SEO1,1
YAL066W,2
YAL065C,3
YAL064W-B,4
TDA8,5
YAL064W,6
FLO9,7
YBR089W,8
NHP6B,9
YBR090C,10
TIM12,11
PHO3,12
PHO5,13
PBY1,14
RXT2,15
YBR096W,16
VPS15,17
MMS4,18
YBR099C,19
FES1,20
EXO84,21
SIF2,22
YBR103C-A,23
YMC2,24
VID24,25
SND3,26
IML3,27
AIM3,28
CMD1,29
ALG1,30
YSA1,31
CYC8,32
YBR113W,33
RAD16,34
LYS2,35
YBR116C,36
TKL2,37
TEF2,38
MUD1,39
CBP6,40
GRS1,41
MRPL36,42
TFC1,43
YBR124W,44
PTC4,45
TPS1,46
VMA2,47
ATG14,48
OPY1,49
SHE3,50
CCZ1,51
AGP2,52
HSL7,53
YBR134W,54
CKS1,55
MEC1,56
YBR137W,57
YBR138C,58
ATG42,59
IRA1,60
BMT2,61
MAK5,62
SUP45,63
YBR144C,64
ADH5,65
MRPS9,66
RTC2,67
YSW1,68
ARA1,69
TBS1,70
APD1,71
SPP381,72
RIB7,73
RPB5,74
CNS1,75
SLI15,76
ICS2,77
AMN1,78
IFA38,79
CDC28,80
TOS1,81
YSY6,82
EXO5,83
ARL1,84
UBS1,85
TYR1,86
POP7,87
PEX32,88
SSE2,89
NPL4,90
SEC66,91
SMY2,92
UMP1,93
YBR174C,94
SWD3,95
ECM31,96
EHT1,97
YBR178W,98
FZO1,99
DTR1,100
RPS6B,101
SMP1,102
YPC1,103
YBR184W,104
MBA1,105
PCH2,106
GDT1,107
NTC20,108
RPS9B,109
YBR190W,110
RPL21A,111
YBR191W-A,112
RIM2,113
MED8,114
AIM4,115
MSI1,116
PGI1,117
YBR197C,118
TAF5,119
KTR4,120
BEM1,121
DER1,122
MCM7,123
COS111,124
LDH1,125
KTR3,126
YBR206W,127
FTH1,128
"DUR1,2",129
YBR209W,130
ERV15,131
AME1,132
NGR1,133
MET8,134
SDS24,135
HPC2,136
YBP1,137
ATG12,138
PYC2,139
YBR220C,140
PDB1,141
PCS60,142
TDP1,143
YBR224W,144
YBR225W,145
YBR226C,146
MCX1,147
SLX1,148
ROT2,149
OM14,150
SWC5,151
YBR232C,152
PBP2,153
DAD3,154
ARC40,155
VHC1,156
ABD1,157
PRP5,158
YBR238C,159
ERT1,160
THI2,161
YBR241C,162
YBR242W,163
ALG7,164
GPX2,165
ISW1,166
RRT2,167
ENP1,168
HIS7,169
ARO4,170
SPO23,171
MRPS5,172
DUT1,173
SRB6,174
TRS20,175
MTC4,176
RCF3,177
RIB5,178
POP4,179
SHG1,180
YBR259W,181
RGD1,182
TAE1,183
MIC12,184
SHM1,185
YPT10,186
TSC10,187
REI1,188
YBR266C,189
MRPL37,190
SDH8,191
BIT2,192
EFM2,193
HSM3,194
UBX7,195
CHK1,196
RIF1,197
PPS1,198
YBR277C,199
DPB3,200
PAF1,201
SAF1,202
DUG2,203
MRPL27,204
SSH1,205
YBR284W,206
YBR285W,207
APE3,208
YBR287W,209
APM3,210
SNF5,211
BSD2,212
CTP1,213
YBR292C,214
VBA2,215
SUL1,216
PCA1,217
PHO89,218
MAL33,219
MAL31,220
MAL32,221
YBR300C,222
PAU24,223
COS2,224
YCL076W,225
GEX1,226
VBA3,227
YCL068C,228
HMLALPHA2,229
HMLALPHA1,230
YCL065W,231
CHA1,232
VAC17,233
MRC1,234
KRR1,235
FYV5,236
MIC10,237
PRD1,238
PEX34,239
KAR4,240
SPB1,241
PBN1,242
LRE1,243
APA1,244
YCL049C,245
SPS22,246
POF1,247
EMC1,248
YCL046W,249
MGR1,250
PDI1,251
YCL041C,252
YCL042W,253
GLK1,254
GID7,255
ATG22,256
SRO9,257
GFD2,258
GRX1,259
LSB5,260
MXR2,261
STE50,262
RRP7,263
HIS4,264
BIK1,265
RNQ1,266
FUS1,267
HBN1,268
FRM2,269
AGP1,270
YCL023C,271
KCC4,272
YCL021W-A,273
LEU2,274
NFS1,275
DCC1,276
BUD3,277
GBP2,278
SGF29,279
ILV6,280
STP22,281
CWH36,282
LDB16,283
PGS1,284
YCL002C,285
RER1,286
YCL001W-A,287
YCL001W-B,288
YCR001W,289
CDC10,290
MRPL32,291
YCP4,292
CIT2,293
YCR006C,294
YCR007C,295
SAT4,296
RVS161,297
ADY2,298
ADP1,299
PGK1,300
YCR013C,301
POL4,302
CTO1,303
YCR016W,304
CWH43,305
SRD1,306
YCR018C-A,307
MAK32,308
PET18,309
MAK31,310
HTL1,311
HSP30,312
YCR022C,313
YCR023C,314
SLM5,315
PMP1,316
YCR025C,317
NPP1,318
RHB1,319
FEN2,320
RIM1,321
SYP1,322
RPS14A,323
BPH1,324
SNT1,325
ELO2,326
RRP43,327
RBK1,328
PHO87,329
BUD5,330
YCR038W-A,331
MATALPHA2,332
MATALPHA1,333
YCR041W,334
TAF2,335
YCR043C,336
PER1,337
RRT12,338
IMG1,339
BUD23,340
YCR049C,341
ARE1,342
YCR050C,343
YCR051W,344
RSC6,345
THR4,346
CTR86,347
PWP2,348
YIH1,349
TAH1,350
YCR061W,351
YCR064C,352
BUD31,353
HCM1,354
RAD18,355
SED4,356
ATG15,357
CPR4,358
IMG2,359
RSA4,360
SSK22,361
SOL2,362
ERS1,363
FUB1,364
PAT1,365
PTC6,366
SRB8,367
AHC2,368
TRX3,369
TUP1,370
YCR085W,371
CSM1,372
YCR087W,373
YCR087C-A,374
ABP1,375
FIG2,376
YCR090C,377
KIN82,378
MSH3,379
CDC39,380
CDC50,381
OCA4,382
HMRA2,383
HMRA1,384
YCR097W-A,385
GIT1,386
YCR099C,387
EMA35,388
YCR101C,389
YCR102C,390
YCR102W-A,391
PAU3,392
ADH7,393
RDS1,394
AAD3,395
COS7,396
YDL247W-A,397
MPH2,398
SOR2,399
HXT15,400
THI13,401
AAD4,402
YDL242W,403
YDL241W,404
YDL240C-A,405
LRG1,406
ADY3,407
GUD1,408
AIM6,409
PHO13,410
YPD1,411
GYP7,412
MFG1,413
OST4,414
BRE4,415
PTP1,416
SSB1,417
YDL228C,418
HO,419
GCS1,420
SHS1,421
WHI4,422
HBT1,423
FMP45,424
YDL221W,425
CDC13,426
DTD1,427
YDL218W,428
TIM22,429
RRI1,430
GDH2,431
PRR2,432
NOP6,433
SHR3,434
YDL211C,435
UGA4,436
CWC2,437
NHP2,438
GLE1,439
YDL206W,440
HEM3,441
RTN2,442
ACK1,443
MRPL11,444
TRM8,445
MGT1,446
YDL199C,447
GGC1,448
ASF2,449
YDL196W,450
SEC31,451
SNF3,452
NUS1,453
ARF1,454
RPL35A,455
UFD2,456
RBS1,457
PPH22,458
YDL187C,459
YDL186W,460
YDL185C-A,461
VMA1,462
RPL41A,463
YDL183C,464
INH1,465
YDL180W,466
PCL9,467
DLD2,468
YDL177C,469
YDL176W,470
AIR2,471
DLD1,472
PAR32,473
YDL172C,474
GLT1,475
UGA3,476
UGX2,477
SFA1,478
NRP1,479
FAP7,480
CDC36,481
CDC9,482
YDL163W,483
YDL162C,484
ENT1,485
DHH1,486
YDL159W-A,487
STE7,488
YDL158C,489
YDL157C,490
CMR1,491
CLB3,492
MSH5,493
SAS10,494
YDL152W,495
BUD30,496
RPC53,497
ATG9,498
NOP14,499
RPN5,500
LDB17,501
COP1,502
YDL144C,503
CCT4,504
CRD1,505
BPL1,506
RPO21,507
SCM3,508
RGT2,509
ARF2,510
RPL35B,511
RDI1,512
PPH21,513
RPL41B,514
SRF1,515
CDC53,516
STF1,517
RPP1B,518
YDL129W,519
VCX1,520
PCL2,521
CDC48,522
HNT1,523
YDL124W,524
SNA4,525
UBP1,526
EXP1,527
YFH1,528
HEM25,529
YDL118W,530
CYK3,531
NUP84,532
IWR1,533
YDL114W-A,534
YDL114W,535
ATG20,536
TRM3,537
RRP42,538
TMA17,539
YDL109C,540
KIN28,541
MSS2,542
PHO2,543
NSE4,544
QRI7,545
QRI1,546
POL3,547
DUN1,548
GET3,549
BUG1,550
SNU23,551
RPN6,552
YDL096C,553
PMT1,554
YDL094C,555
PMT5,556
SRP14,557
UBX3,558
RAM1,559
NUR1,560
ASM4,561
LUC7,562
YDL086W,563
YDL085C-A,564
NDE2,565
SUB2,566
RPS16B,567
RPL13A,568
RPP1A,569
THI3,570
MRK1,571
MDH3,572
VAM6,573
RXT3,574
RPL31A,575
BRE1,576
AHK1,577
YET3,578
YDL071C,579
BDF2,580
CBS1,581
YDL068W,582
COX9,583
IDP1,584
PEX19,585
UBC9,586
SYO1,587
YDL062W,588
RPS29B,589
TSR1,590
RAD59,591
USO1,592
YDL057W,593
MBP1,594
PSA1,595
MCH1,596
PBP4,597
SLC1,598
LHP1,599
YDL050C,600
KNH1,601
STP4,602
SIT4,603
NPC2,604
MRP10,605
FAD1,606
MTF2,607
PRP11,608
SIR2,609
YDL041W,610
NAT1,611
PRM7,612
YDL038C,613
BSC1,614
PUS9,615
GPR1,616
YDL034W,617
SLM3,618
YDL032W,619
DBP10,620
PRP9,621
ARP2,622
MPS1,623
MRX9,624
YDL026W,625
RTK1,626
DIA3,627
YDL023C,628
GPD1,629
GPM2,630
RPN4,631
OSH2,632
ERP3,633
CDC7,634
YDL016C,635
TSC13,636
NOP1,637
SLX5,638
YDL012C,639
YDL011C,640
GRX6,641
YDL009C,642
APC11,643
RPT2,644
PTC1,645
MED2,646
ATP16,647
MCD1,648
NHP10,649
RMD1,650
NTH1,651
YRB1,652
RCR2,653
RAD57,654
MAF1,655
SOK1,656
TRP1,657
YDR008C,658
GAL3,659
YDR010C,660
SNQ2,661
RPL4B,662
PSF1,663
RAD61,664
YDR015C,665
DAD1,666
KCS1,667
YDR018C,668
GCV1,669
DAS2,670
FAL1,671
ATG31,672
SES1,673
FYV1,674
RPS11A,675
NSI1,676
VPS54,677
REG1,678
YDR029W,679
RAD28,680
MIX14,681
PST2,682
MRH1,683
LYS14,684
YDR034C-A,685
YDR034W-B,686
ARO3,687
EHD3,688
KRS1,689
ENA5,690
ENA2,691
ENA1,692
RSM10,693
YDR042C,694
NRG1,695
HEM13,696
RPC11,697
BAP3,698
HEM12,699
YDR048C,700
VMS1,701
TPI1,702
DET1,703
DBF4,704
YDR053W,705
CDC34,706
PST1,707
EMC10,708
YOS9,709
TGL2,710
UBC5,711
MAK21,712
YDR061W,713
LCB2,714
AIM7,715
RPS13,716
RRG1,717
RTR2,718
OCA6,719
DOS2,720
DOA4,721
FMP16,722
PAA1,723
IPT1,724
SNF11,725
TPS2,726
PPH3,727
RAD55,728
SED1,729
SHU2,730
PET100,731
TFB5,732
VPS41,733
PDC2,734
STN1,735
RRP8,736
TVP23,737
AFR1,738
SSS1,739
RRP1,740
SLU7,741
VTC5,742
ILT1,743
RLI1,744
UBC13,745
DNF2,746
YDR094W,747
YDR095C,748
GIS1,749
MSH6,750
GRX3,751
BMH2,752
TVP15,753
ARX1,754
YDR102C,755
STE5,756
SPO71,757
TMS1,758
ARP10,759
TMN2,760
TRS85,761
YDR109C,762
FOB1,763
ALT2,764
YDR112W,765
PDS1,766
YDR114C,767
MRX14,768
MRPL1,769
TMA64,770
APC4,771
VBA4,772
TRM1,773
DPB4,774
KIN1,775
INO2,776
YDR124W,777
ECM18,778
SWF1,779
ARO1,780
MTC5,781
SAC6,782
FIN1,783
YDR131C,784
YDR132C,785
YDR133C,786
CCW22,787
YCF1,788
VPS61,789
RGP1,790
HPR1,791
RUB1,792
MTQ2,793
DOP1,794
PEX7,795
SAN1,796
MKC7,797
TAF12,798
SWI5,799
EKI1,800
KGD2,801
YDR149C,802
NUM1,803
CTH1,804
GIR2,805
ENT5,806
YDR154C,807
CPR1,808
RPA14,809
YDR157W,810
